channel,sample_size,channel_auc,group_name,n_dims,auc_drop_mean,auc_drop_std,baseline_auc
TVBS NEWS,1016,0.8712153697397739,embedding,1024,0.3145650985832598,0.024415965616460606,0.8712153697397739
TVBS NEWS,1016,0.8712153697397739,framing,9,0.021267919451801443,0.004514150907570601,0.8712153697397739
TVBS NEWS,1016,0.8712153697397739,topic,39,0.013000378357926667,0.009764355523152723,0.8712153697397739
TVBS NEWS,1016,0.8712153697397739,topic_monthly,3,0.0035725396224829177,0.0010591649434957327,0.8712153697397739
TVBS NEWS,1016,0.8712153697397739,channel_context,2,0.00021608441585743154,0.0011287035394295243,0.8712153697397739
TVBS NEWS,1016,0.8712153697397739,channel_metadata,7,0.0,0.0,0.8712153697397739
三立LIVE新聞,620,0.892968142968143,embedding,1024,0.28035483035483033,0.055358668342647646,0.892968142968143
三立LIVE新聞,620,0.892968142968143,framing,9,0.027965552965552965,0.013845630663982447,0.892968142968143
三立LIVE新聞,620,0.892968142968143,topic,39,0.017158767158767164,0.014423780000078044,0.892968142968143
三立LIVE新聞,620,0.892968142968143,topic_monthly,3,0.0045454545454545305,0.003086317117244616,0.892968142968143
三立LIVE新聞,620,0.892968142968143,channel_metadata,7,0.0,0.0,0.892968142968143
三立LIVE新聞,620,0.892968142968143,channel_context,2,-0.0016640766640766524,0.001133791938184445,0.892968142968143
中天新聞,2057,0.7725196927190007,embedding,1024,0.2290934464696533,0.011863935378761691,0.7725196927190007
中天新聞,2057,0.7725196927190007,framing,9,0.02668557052948013,0.0051801110198829445,0.7725196927190007
中天新聞,2057,0.7725196927190007,topic,39,0.007970602915612324,0.002271825392814784,0.7725196927190007
中天新聞,2057,0.7725196927190007,topic_monthly,3,0.0015868917918794967,0.0007510878899399908,0.7725196927190007
中天新聞,2057,0.7725196927190007,channel_context,2,0.0007961710354955521,0.0005199248553803928,0.7725196927190007
中天新聞,2057,0.7725196927190007,channel_metadata,7,0.0,0.0,0.7725196927190007
台視新聞 TTV NEWS,847,0.8306838833094212,embedding,1024,0.28130750836920126,0.01330098307012202,0.8306838833094212
台視新聞 TTV NEWS,847,0.8306838833094212,framing,9,0.0300994739359157,0.005314490614929021,0.8306838833094212
台視新聞 TTV NEWS,847,0.8306838833094212,topic,39,0.015989478718316463,0.009344427369383415,0.8306838833094212
台視新聞 TTV NEWS,847,0.8306838833094212,topic_monthly,3,0.004023912003825824,0.001542325655540474,0.8306838833094212
台視新聞 TTV NEWS,847,0.8306838833094212,channel_context,2,0.0021166905786703548,0.001525002849496598,0.8306838833094212
台視新聞 TTV NEWS,847,0.8306838833094212,channel_metadata,7,0.0,0.0,0.8306838833094212
東森新聞 CH51,1047,0.7219420758600412,embedding,1024,0.16546824463393123,0.01925787008172028,0.7219420758600412
東森新聞 CH51,1047,0.7219420758600412,framing,9,0.05412525727727145,0.01221578122226771,0.7219420758600412
東森新聞 CH51,1047,0.7219420758600412,topic,39,0.005923257865333787,0.010655028236980349,0.7219420758600412
東森新聞 CH51,1047,0.7219420758600412,topic_monthly,3,0.0033784181123199587,0.0013925301804112171,0.7219420758600412
東森新聞 CH51,1047,0.7219420758600412,channel_context,2,0.0015811526021759059,0.0017544585301120178,0.7219420758600412
東森新聞 CH51,1047,0.7219420758600412,channel_metadata,7,0.0,0.0,0.7219420758600412
